time,Mkt-RF,RF
20180612,0.23,0.006
20180613,-0.33,0.006
20180614,0.27,0.006
20180615,-0.08,0.006
20180618,-0.09,0.006
20180619,-0.38,0.006
20180620,0.23,0.006
20180621,-0.73,0.006
20180622,0.11,0.006
20180625,-1.48,0.006
20180626,0.27,0.006
20180627,-1.02,0.006
20180628,0.58,0.006
20180629,0.07,0.006
20180702,0.36,0.008
20180703,-0.44,0.008
20180705,0.87,0.008
20180706,0.88,0.008
20180709,0.93,0.008
20180710,0.21,0.008
20180711,-0.69,0.008
20180712,0.86,0.008
20180713,0.08,0.008
20180716,-0.16,0.008
20180717,0.48,0.008
20180718,0.27,0.008
20180719,-0.34,0.008
20180720,-0.1,0.008
20180723,0.15,0.008
20180724,0.22,0.008
20180725,0.83,0.008
20180726,-0.2,0.008
20180727,-0.82,0.008
20180730,-0.7,0.008
20180731,0.51,0.008
20180801,-0.13,0.007
20180802,0.67,0.007
20180803,0.31,0.007
20180806,0.46,0.007
20180807,0.29,0.007
20180808,-0.04,0.007
20180809,-0.05,0.007
20180810,-0.6,0.007
